link_id	mass_base	mass_prev	mass_new	boost	tier_prev	tier_new	top_contributor_link_id
fae7e380-065f-4665-a980-07f7da2396eb	0.950	0.950	3.860	2.910	link	link	5a8de067-ae95-4b87-8f2e-a608371bf51c
ee8d6411-37e6-4241-af4b-18f2f62a5446	1.857	1.857	3.979	2.121	link	link	c24adfe9-c04e-4deb-9805-2f6d8122310c
c24adfe9-c04e-4deb-9805-2f6d8122310c	1.580	1.580	4.077	2.497	link	link	ee8d6411-37e6-4241-af4b-18f2f62a5446
af90305c-8bec-4bd5-8d59-abece52b2cfe	0.954	0.954	3.877	2.923	link	link	c24adfe9-c04e-4deb-9805-2f6d8122310c
9655f95d-bb6c-4dbc-9776-09954271b626	0.567	0.567	0.886	0.319	link	link	ce7bd9a9-90db-4bda-a34b-a2830c2a0c71
ce7bd9a9-90db-4bda-a34b-a2830c2a0c71	0.473	0.473	0.855	0.382	link	link	9655f95d-bb6c-4dbc-9776-09954271b626
39a7e237-5364-4dc7-b205-b4389701cf8f	0.488	0.488	0.927	0.439	link	link	b17aa229-5a02-441a-8858-e7fdd690179a
b17aa229-5a02-441a-8858-e7fdd690179a	0.555	0.555	0.941	0.386	link	link	39a7e237-5364-4dc7-b205-b4389701cf8f
b1283a15-edc7-4619-bc8d-d1aa6f251d27	0.540	0.540	0.938	0.398	link	link	59935f68-9bf0-4885-aba6-cfa6c618df03
59935f68-9bf0-4885-aba6-cfa6c618df03	0.533	0.533	0.936	0.403	link	link	b1283a15-edc7-4619-bc8d-d1aa6f251d27
f9f77e33-ebe2-44db-940e-4f016f739074	0.578	0.578	1.366	0.788	link	link	80b4e1a0-94b1-499d-9c85-4c532a2f4501
80b4e1a0-94b1-499d-9c85-4c532a2f4501	1.187	1.187	2.825	1.637	link	link	9997e5c8-75f5-4208-946e-2c74d1eb281e
9997e5c8-75f5-4208-946e-2c74d1eb281e	0.656	0.656	2.781	2.125	link	link	80b4e1a0-94b1-499d-9c85-4c532a2f4501
1e41597e-500f-4990-9d64-adca4df366b1	0.650	0.650	2.563	1.913	link	link	80b4e1a0-94b1-499d-9c85-4c532a2f4501
4c29410c-8525-48f9-9a0c-bb4fe0748ee7	0.591	0.591	2.070	1.479	link	link	80b4e1a0-94b1-499d-9c85-4c532a2f4501
5e256101-9555-4575-9f64-15de02133c89	0.569	0.569	0.569	0.000	link	link	
9e8abec1-c201-40ef-8462-39b59d59f2d0	0.650	0.650	1.778	1.128	link	link	4e2b6a38-f38b-4ff4-9623-52963fdf8a0c
4e2b6a38-f38b-4ff4-9623-52963fdf8a0c	1.322	1.322	1.876	0.555	link	link	9e8abec1-c201-40ef-8462-39b59d59f2d0
0c1790c5-b420-4a31-8c9e-10b4688600e0	1.483	1.483	1.483	0.000	link	link	
d440e19e-3902-429f-a1b9-c23c8a43ce87	0.601	0.601	1.058	0.457	link	link	09b1d91e-aa02-4323-872f-9b335b4ba33b
09b1d91e-aa02-4323-872f-9b335b4ba33b	0.584	0.584	1.054	0.470	link	link	d440e19e-3902-429f-a1b9-c23c8a43ce87
fb708ea6-0b4b-4173-886f-ec803ed780ad	0.550	0.550	1.055	0.505	link	link	4e5d4cc3-f67f-4ec1-bdf9-93d534172246
b3ec63f0-4fe4-4b40-a1ee-3fbda184a07c	0.641	0.641	3.647	3.006	link	link	c23f6842-bcb5-4c38-9119-ef8494f6e5d7
271e453f-9948-48b0-94cf-fdf28eede70b	0.679	0.679	3.109	2.431	link	link	7a8e4d6d-62bf-4e62-8362-fbe9ded5fbc2
c23f6842-bcb5-4c38-9119-ef8494f6e5d7	1.286	1.286	4.714	3.428	link	link	7a8e4d6d-62bf-4e62-8362-fbe9ded5fbc2
400bdd3c-77cb-4f41-849c-92dfa4c24032	0.765	0.765	4.422	3.657	link	link	c23f6842-bcb5-4c38-9119-ef8494f6e5d7
0b3f7ee5-9a0a-46b2-87d5-142c9d9280bf	0.760	0.760	4.460	3.700	link	link	c23f6842-bcb5-4c38-9119-ef8494f6e5d7
5ea3845b-9e0c-4151-b3fc-5e01f99b8b2d	0.668	0.668	3.120	2.452	link	link	c23f6842-bcb5-4c38-9119-ef8494f6e5d7
2a9b7233-64c2-4d35-9c74-efcabd60494d	0.643	0.643	2.091	1.449	link	link	c23f6842-bcb5-4c38-9119-ef8494f6e5d7
620ceb9a-61fb-4d33-a6f7-43f19becec6a	0.484	0.484	0.484	0.000	link	link	
cf7d3705-d177-493c-8ebb-ba3510bc6e8d	1.346	1.346	3.142	1.795	link	link	18b83170-3fbb-4c4a-bc13-8aaed6f4583c
a3c5afb5-1805-4c50-9d26-7fec7046d4f8	0.741	0.741	3.106	2.365	link	link	cf7d3705-d177-493c-8ebb-ba3510bc6e8d
ff03fb47-7b7e-4f22-98b9-cb065aae0717	0.699	0.699	2.368	1.669	link	link	cf7d3705-d177-493c-8ebb-ba3510bc6e8d
35d0d8bb-db75-4246-832f-fca184180355	0.618	0.618	1.284	0.666	link	link	d9c7f754-f601-4965-a1d2-3cbee05bd461
7e7fddcf-ed07-4ab5-9e0c-b5c6c5a1e43b	0.518	0.518	1.300	0.782	link	link	d9c7f754-f601-4965-a1d2-3cbee05bd461
d9c7f754-f601-4965-a1d2-3cbee05bd461	0.602	0.602	1.403	0.801	link	link	35d0d8bb-db75-4246-832f-fca184180355
a6ff3532-8b02-4026-98d0-48260462a69d	0.484	0.484	0.913	0.428	link	link	ad413036-7819-48ac-9d8f-4a29933b381c
ad413036-7819-48ac-9d8f-4a29933b381c	0.536	0.536	0.923	0.387	link	link	a6ff3532-8b02-4026-98d0-48260462a69d
29826d4e-37ee-4b03-8b89-7981b1a547ae	0.659	0.659	2.261	1.602	link	link	14dc04ff-9dfe-4411-91d2-fb38e6e04ab3
5e22240d-0e35-4388-ad0f-664db22f5ded	0.652	0.652	1.665	1.013	link	link	14dc04ff-9dfe-4411-91d2-fb38e6e04ab3
14dc04ff-9dfe-4411-91d2-fb38e6e04ab3	0.714	0.714	2.136	1.422	link	link	29826d4e-37ee-4b03-8b89-7981b1a547ae
9a62878d-15be-40a9-a597-9164abf65db2	0.602	0.602	1.791	1.189	link	link	2aa3091a-c56b-46cc-be95-34bb955758d3
28aad481-4917-4009-a0f9-0bb576288c90	0.599	0.599	2.824	2.225	link	link	2aa3091a-c56b-46cc-be95-34bb955758d3
f7f71261-f682-49fc-835a-7ab51bc31df3	0.656	0.656	2.751	2.095	link	link	2aa3091a-c56b-46cc-be95-34bb955758d3
1feb00fb-8501-4970-96ac-ca2ad7f9777c	1.253	1.253	1.782	0.529	link	link	bd241144-4f27-448b-8972-d50b6e4c2e18
16b5478c-a9c8-489e-b36e-74839d2ffe4b	0.597	0.597	1.802	1.205	link	link	ecc7e222-c10e-466e-a0b0-bf7c906786f6
ecc7e222-c10e-466e-a0b0-bf7c906786f6	1.515	1.515	1.838	0.323	link	link	16b5478c-a9c8-489e-b36e-74839d2ffe4b
4baf50c5-5e37-4705-a18f-715351f39248	0.588	0.588	0.980	0.392	link	link	16b5478c-a9c8-489e-b36e-74839d2ffe4b
0982b40a-bdb5-4c8c-97bb-a03034cb93f4	0.483	0.483	0.483	0.000	link	link	
e5aefce5-a787-4390-822f-e73b391811f0	0.533	0.533	1.495	0.962	link	link	a93be689-6b6a-4e7d-95d6-49cf36f091e7
d454a047-7f96-4e46-b9fa-ab6a7bd3ad24	0.598	0.598	1.499	0.900	link	link	a93be689-6b6a-4e7d-95d6-49cf36f091e7
fb288f03-d57d-4971-9c22-20d0574ecc34	0.539	0.539	1.474	0.935	link	link	45b99f2c-d2a3-4417-b085-57694c7a9921
b62ee46a-ef7f-44ad-99c0-6d9b75462a4b	0.574	0.574	1.550	0.976	link	link	45b99f2c-d2a3-4417-b085-57694c7a9921
45b99f2c-d2a3-4417-b085-57694c7a9921	0.649	0.649	1.576	0.927	link	link	b62ee46a-ef7f-44ad-99c0-6d9b75462a4b
38eae05e-046f-42b4-9936-d7e94d008964	1.479	1.479	1.479	0.000	link	link	
4b626907-e4b9-44e0-8124-835f1ea9024c	0.580	0.580	1.093	0.513	link	link	e43f9fd0-fc68-418b-834a-85bdcf9e2b34
6849506c-866d-450c-b271-c830b0793c5c	0.554	0.554	1.255	0.701	link	link	e43f9fd0-fc68-418b-834a-85bdcf9e2b34
e43f9fd0-fc68-418b-834a-85bdcf9e2b34	0.562	0.562	1.310	0.748	link	link	6849506c-866d-450c-b271-c830b0793c5c
a890e769-e2f5-46e7-9fcd-4e247f4dc86c	0.528	0.528	0.820	0.291	link	link	3eb6e251-5c6c-4bcd-9d84-30981496ca1b
1081fa05-e39b-4242-a22e-285b875f128c	1.196	1.196	1.912	0.716	link	link	3eb6e251-5c6c-4bcd-9d84-30981496ca1b
3eb6e251-5c6c-4bcd-9d84-30981496ca1b	0.714	0.714	2.129	1.415	link	link	1081fa05-e39b-4242-a22e-285b875f128c
97cd543b-5739-40a5-9ae0-923287957b10	0.553	0.553	0.899	0.345	link	link	39f95dbf-f3eb-459b-b975-bfc122149628
39f95dbf-f3eb-459b-b975-bfc122149628	0.539	0.539	1.468	0.929	link	link	6bf0b560-ed82-4c44-b8ce-14300bcfe835
a8361df1-5565-4c5e-8237-7b513c56a7d2	0.589	0.589	1.838	1.249	link	link	6bf0b560-ed82-4c44-b8ce-14300bcfe835
728b49ba-def7-47b8-b21d-efa5b6fb603c	0.600	0.600	1.460	0.860	link	link	a8361df1-5565-4c5e-8237-7b513c56a7d2
837e10f6-7136-4bfb-8df9-37d4697ce9ef	0.560	0.560	1.205	0.645	link	link	728b49ba-def7-47b8-b21d-efa5b6fb603c
4a2943c2-e26f-4e80-8fd5-f2b92bf98827	0.478	0.478	0.478	0.000	link	link	
f3676488-3272-4ede-ae3a-52c8f60c6024	0.630	0.630	1.431	0.801	link	link	9cf30066-f9a0-4abe-b138-bee0e74aa87f
0e983ee6-3909-45f8-8b10-7fdc924e4825	1.209	1.209	1.519	0.309	link	link	f6e47be1-d1b5-4321-9b0e-c3632cd437aa
f6e47be1-d1b5-4321-9b0e-c3632cd437aa	0.620	0.620	1.546	0.926	link	link	0e983ee6-3909-45f8-8b10-7fdc924e4825
e610682b-febf-444d-88cd-ba449fe08249	0.572	0.572	0.922	0.350	link	link	f6e47be1-d1b5-4321-9b0e-c3632cd437aa
9925fd6a-dd07-44ae-bab1-97c8286f83f4	0.495	0.495	0.495	0.000	link	link	
07684b0b-a1bd-4006-8ad4-7fb05a7ccfd7	0.450	0.450	0.816	0.366	link	link	8d8c4f30-c9e6-4c39-ab5f-07c7b70998fb
8d8c4f30-c9e6-4c39-ab5f-07c7b70998fb	0.511	0.511	0.833	0.323	link	link	07684b0b-a1bd-4006-8ad4-7fb05a7ccfd7
458a9fc2-c544-46e3-bcc4-955548a73de1	0.528	0.528	0.944	0.416	link	link	3783fe38-8a9b-4d1a-aa91-fba635005d04
c3d5d58f-2812-4fd8-8bbe-6b054288b66b	1.339	1.339	2.372	1.033	link	link	975ffcf7-35e9-44d4-86b5-9606ca311ee4
975ffcf7-35e9-44d4-86b5-9606ca311ee4	0.713	0.713	2.078	1.365	link	link	c3d5d58f-2812-4fd8-8bbe-6b054288b66b
8f33a2c1-be3a-43fb-9f26-f205234964d0	0.729	0.729	2.301	1.573	link	link	c3d5d58f-2812-4fd8-8bbe-6b054288b66b
3c30db30-1f6a-4ac9-97fa-8f0a309e98b2	0.714	0.714	2.191	1.477	link	link	df017af7-8ff6-4f13-9c53-7a9a1086ca22
df017af7-8ff6-4f13-9c53-7a9a1086ca22	1.331	1.331	2.548	1.217	link	link	3c30db30-1f6a-4ac9-97fa-8f0a309e98b2
143352ed-1879-467e-9cd7-9c85ff0fecc1	0.766	0.766	2.372	1.606	link	link	df017af7-8ff6-4f13-9c53-7a9a1086ca22
5018c710-5824-415e-9069-598162ca53cd	0.696	0.696	2.172	1.476	link	link	df017af7-8ff6-4f13-9c53-7a9a1086ca22
5751c129-b26a-4fe1-9e0f-3105f53f079e	0.683	0.683	1.583	0.900	link	link	5018c710-5824-415e-9069-598162ca53cd
169be6c1-fbbf-402e-8e86-6b27e1b52102	0.610	0.610	1.563	0.953	link	link	5751c129-b26a-4fe1-9e0f-3105f53f079e
7a959c95-9aac-4692-be8b-f61b781b1e38	0.534	0.534	0.881	0.347	link	link	169be6c1-fbbf-402e-8e86-6b27e1b52102
a6ec95c2-1c31-444d-be5a-3a7c6919b590	0.606	0.606	1.624	1.019	link	link	f11dda63-656d-4e71-99cb-c74c93e337b6
6a90cded-b2a5-48ac-980b-7e99e8d2093e	0.606	0.606	1.624	1.019	link	link	f11dda63-656d-4e71-99cb-c74c93e337b6
2e60a917-6e86-4bbf-8c3c-d1d21f0ef996	0.567	0.567	1.011	0.444	link	link	b04e4a6f-cf52-48d6-8e42-7bd38f7afe1c
b04e4a6f-cf52-48d6-8e42-7bd38f7afe1c	0.561	0.561	1.010	0.449	link	link	2e60a917-6e86-4bbf-8c3c-d1d21f0ef996
286ab627-b406-4a44-b3b8-a9706f047828	0.658	0.658	1.496	0.837	link	link	3736c7b2-3055-42cf-8eaa-09554311ba65
3736c7b2-3055-42cf-8eaa-09554311ba65	0.690	0.690	2.125	1.435	link	link	2c4d26f2-f2db-463e-b959-d09d75170dd2
2c4d26f2-f2db-463e-b959-d09d75170dd2	0.816	0.816	3.097	2.281	link	link	7026143c-2ae1-4ed3-98b7-9cb859da4e77
b0175a00-c65b-4365-8256-f3e6fecfbf7b	0.862	0.862	4.260	3.398	link	link	7026143c-2ae1-4ed3-98b7-9cb859da4e77
a410e71c-c792-44ed-9c56-5e2ccfc55de2	0.942	0.942	4.327	3.385	link	link	42826b9f-abfa-479c-b6a7-f89792892c56
1a756abd-317c-42eb-af6b-28ff17a610a3	0.799	0.799	2.801	2.001	link	link	42826b9f-abfa-479c-b6a7-f89792892c56
